Language;Achi;Aguacateco;Akateko;Chorti;Chuj;Garifuna
number of noun classifiers;4;N/A;24;14;8;
type of classifiers;personal;N/A;personal/inanimate;personal/inanimate;personal;
personal_distinction_of_classifiers;gender & age;N/A;gender & age & kinship;gender & age & kinship;gender & married;
free_use of classifiers;no;N/A;yes;no;N/A;
obligatority of classifiers;no;N/A;no;no;N/A;
ergative_split in main_clause incpl;yes;no;no;no;yes;
ergative_split in main_clause prog;yes;yes;no;no;yes;
ergative_split in main_clause pot;no;no;no;no;yes;
ergative_split in main_clause averbs;no;yes;no;no;no;
egrative split in sub clauses;no;yes;no;no;no;
