Family;Group;Language;Location;Altitude;Longitude
Mayan;K'ichean;Kaqchikel;San Pedro Sacatepéquez;14.68416;-90.644167
Mayan;K'ichean;Kaqchikel;Santiago Sacatepéquez;14.652961;-90.652402
Mayan;K'ichean;Kaqchikel;San Bartolomé Milpas Altas;14.607328;-90.678186
Mayan;K'ichean;Kaqchikel;Magdalena Milpas Altas;14.545278;-90.675278
Mayan;K'ichean;Kaqchikel;Ayampuc;14.783333;-90.45
Mayan;K'ichean;Kaqchikel;Ciudad Vieja;14.523333;-90.766667
Mayan;K'ichean;Kaqchikel;Santa Apolonia;14.783333;-90.966667
Mayan;K'ichean;Kaqchikel;Santa Cruz Balanyá;14.6869;-90.9194
Mayan;K'ichean;Kaqchikel;Santa Lucía Cotzumalguapa;14.333333;-91.016667
Mayan;K'ichean;Kaqchikel;Parramos;14.607778;-90.80305
Mayan;K'ichean;Kaqchikel;El Tejar;14.65;-90.8
Mayan;K'ichean;Kaqchikel;Panzós;15.398611;-89.640833
Mayan;K'ichean;Kaqchikel;Zaragoza;14.6498;-90.8902
Mayan;K'ichean;Kaqchikel;Pastores;14.59;-90.75
Mayan;K'ichean;Kaqchikel;Concepción;14.7833;-91.15
Mayan;K'ichean;Kaqchikel;Sayaxché;16.516667;-90.183333
Mayan;K'ichean;Kaqchikel;Jocotenango;14.586786;-90.744403
Mayan;K'ichean;Kaqchikel;San Juan Bautista;14.416667;-91.183333
Mayan;K'ichean;Kaqchikel;Palín;14.403889;-90.698611
Mayan;K'ichean;Kaqchikel;San Francisco Panajachel;14.736051;-91.15584
Mayan;K'ichean;Kaqchikel;San Lorenzo;14.4833;-91.5167
Mayan;K'ichean;Kaqchikel;San José Pinula;14.55;-90.416667
Mayan;K'ichean;Kaqchikel;San Bernardino;14.533333;-91.45
Mayan;K'ichean;Kaqchikel;San Gabriel;14.5167;-91.5167
Mayan;K'ichean;Kaqchikel;Alotenango;14.487778;-90.805833
Mayan;K'ichean;Kaqchikel;Chicacao;14.542846;-91.328847
Mayan;K'ichean;Kaqchikel;Santa María Visitación;14.716667;-91.316667
Mayan;K'ichean;Sacapulteco;Sacapulas;15.289167;-91.089167
Mayan;K'ichean;Sipacapense;Sipacapa;15.212778;-91.634167
Mayan;K'ichean;Tz'utujil;San Juan La Laguna;14.7;-91.283333
Mayan;K'ichean;Tz'utujil;Santa María Visitación;14.716667;-91.316667
Mayan;K'ichean;Tz'utujil;San Pablo La Laguna;14.716667;-91.266667
Mayan;K'ichean;Tz'utujil;San Marcos La Laguna;14.724832;-91.258883
Mayan;K'ichean;Tz'utujil;San Pedro La Laguna;14.6939;-91.2719
Mayan;K'ichean;Tz'utujil;Santiago Atitlán;14.633333;-91.233333
Mayan;K'ichean;Tz'utujil;San Lucas Tolimán;14.633333;-91.133333
Mayan;K'ichean;Tz'utujil;Panabaj;14.633333;-91.233333
Mayan;K'ichean;Tz'utujil;San Miguel Panán;14.533333;-91.366667
Mayan;K'ichean;Tz'utujil;San Antonio Suchitepéquez;14.533333;-91.416667
Mayan;K'ichean;Tz'utujil;Zunilito;14.6167;-91.5167
